hgnc_symbol	ensembl_gene_id	chromosome_name	origsymbol
A1BG	A1BG	ENSG00000121410	19	A1BG
A1BG-AS1	A1BG-AS1	ENSG00000268895	19	A1BG-AS1
A1CF	A1CF	ENSG00000148584	10	A1CF
A2M	A2M	ENSG00000175899	12	A2M
A2M-AS1	A2M-AS1	ENSG00000245105	12	A2M-AS1
A2ML1	A2ML1	ENSG00000166535	12	A2ML1
A2MP1	A2MP1	ENSG00000256069	12	A2MP1
AAAS	AAAS	ENSG00000094914	12	AAAS
AACS	AACS	ENSG00000081760	12	AACS
AACSP1	AACSP1	ENSG00000250420	5	AACSP1
AADAC	AADAC	ENSG00000114771	3	AADAC
AADACL2-AS1	AADACL2-AS1	ENSG00000262466	CHR_HSCHR3_1_CTG2_1	AADACL2-AS1
AADACL3	AADACL3	ENSG00000188984	1	AADACL3
AADAT	AADAT	ENSG00000109576	4	AADAT
AAED1	NA	NA	NA	AAED1
AAGAB	AAGAB	ENSG00000103591	15	AAGAB
AAK1	AAK1	ENSG00000115977	2	AAK1
AAMDC	AAMDC	ENSG00000087884	11	AAMDC
AAMP	AAMP	ENSG00000127837	2	AAMP
AANAT	AANAT	ENSG00000129673	17	AANAT
AAR2	AAR2	ENSG00000131043	20	AAR2
AARD	AARD	ENSG00000205002	8	AARD
AARS	AARS	ENSG00000090861	16	AARS
AARS2	AARS2	ENSG00000124608	6	AARS2
AARSD1	AARSD1	ENSG00000266967	17	AARSD1
AASDH	AASDH	ENSG00000157426	4	AASDH
AASDHPPT	AASDHPPT	ENSG00000149313	11	AASDHPPT
AASS	AASS	ENSG00000008311	7	AASS
AATF	AATF	ENSG00000276072	CHR_HSCHR17_7_CTG4	AATF
AATK	AATK	ENSG00000181409	17	AATK
AB015752.3	NA	NA	NA	AB015752.3
AB019438.66	NA	NA	NA	AB019438.66
AB019440.50	NA	NA	NA	AB019440.50
AB019441.29	NA	NA	NA	AB019441.29
ABAT	ABAT	ENSG00000183044	16	ABAT
ABBA01014710.1	NA	NA	NA	ABBA01014710.1
ABBA01017803.1	NA	NA	NA	ABBA01017803.1
ABBA01031658.1	NA	NA	NA	ABBA01031658.1
ABBA01031664.1	NA	NA	NA	ABBA01031664.1
ABC12-49244600F4.4	NA	NA	NA	ABC12-49244600F4.4
ABC14-1080714F14.1	NA	NA	NA	ABC14-1080714F14.1
ABCA1	ABCA1	ENSG00000165029	9	ABCA1
ABCA10	ABCA10	ENSG00000154263	17	ABCA10
ABCA11P	ABCA11P	ENSG00000251595	4	ABCA11P
ABCA12	ABCA12	ENSG00000144452	2	ABCA12
ABCA13	ABCA13	ENSG00000179869	7	ABCA13
ABCA17P	ABCA17P	ENSG00000238098	16	ABCA17P
ABCA2	ABCA2	ENSG00000107331	9	ABCA2
ABCA3	ABCA3	ENSG00000167972	16	ABCA3
ABCA4	ABCA4	ENSG00000198691	1	ABCA4
ABCA5	ABCA5	ENSG00000154265	17	ABCA5
ABCA6	ABCA6	ENSG00000154262	17	ABCA6
ABCA7	ABCA7	ENSG00000064687	19	ABCA7
ABCA8	ABCA8	ENSG00000141338	17	ABCA8
ABCA9	ABCA9	ENSG00000154258	17	ABCA9
ABCA9-AS1	ABCA9-AS1	ENSG00000231749	17	ABCA9-AS1
ABCB1	ABCB1	ENSG00000085563	7	ABCB1
ABCB10	ABCB10	ENSG00000135776	1	ABCB10
ABCB10P1	ABCB10P1	ENSG00000281173	CHR_HSCHR15_2_CTG3	ABCB10P1
ABCB4	ABCB4	ENSG00000005471	7	ABCB4
ABCB5	ABCB5	ENSG00000004846	7	ABCB5
ABCB6	ABCB6	ENSG00000115657	2	ABCB6
ABCB7	ABCB7	ENSG00000131269	X	ABCB7
ABCB8	ABCB8	ENSG00000197150	7	ABCB8
ABCB9	ABCB9	ENSG00000150967	12	ABCB9
ABCC1	ABCC1	ENSG00000278183	CHR_HSCHR16_1_CTG1	ABCC1
ABCC10	ABCC10	ENSG00000124574	6	ABCC10
ABCC11	ABCC11	ENSG00000121270	16	ABCC11
ABCC12	ABCC12	ENSG00000140798	16	ABCC12
ABCC13	ABCC13	ENSG00000243064	21	ABCC13
ABCC2	ABCC2	ENSG00000023839	10	ABCC2
ABCC3	ABCC3	ENSG00000108846	17	ABCC3
ABCC4	ABCC4	ENSG00000125257	13	ABCC4
ABCC5	ABCC5	ENSG00000114770	3	ABCC5
ABCC5-AS1	ABCC5-AS1	ENSG00000223882	3	ABCC5-AS1
ABCC6	ABCC6	ENSG00000275331	CHR_HSCHR16_1_CTG1	ABCC6
ABCC8	ABCC8	ENSG00000006071	11	ABCC8
ABCC9	ABCC9	ENSG00000069431	12	ABCC9
ABCD1	ABCD1	ENSG00000101986	X	ABCD1
ABCD1P2	ABCD1P2	ENSG00000215151	10	ABCD1P2
ABCD2	ABCD2	ENSG00000173208	12	ABCD2
ABCD3	ABCD3	ENSG00000117528	1	ABCD3
ABCD4	ABCD4	ENSG00000119688	14	ABCD4
ABCE1	ABCE1	ENSG00000164163	4	ABCE1
ABCF1	ABCF1	ENSG00000236342	CHR_HSCHR6_MHC_SSTO_CTG1	ABCF1
ABCF2	ABCF2	ENSG00000285292	7	ABCF2
ABCF2P1	ABCF2P1	ENSG00000242159	3	ABCF2P1
ABCF3	ABCF3	ENSG00000161204	3	ABCF3
ABCG1	ABCG1	ENSG00000160179	21	ABCG1
ABCG2	ABCG2	ENSG00000118777	4	ABCG2
ABCG4	ABCG4	ENSG00000172350	11	ABCG4
ABCG5	ABCG5	ENSG00000138075	2	ABCG5
ABHD1	ABHD1	ENSG00000143994	2	ABHD1
ABHD10	ABHD10	ENSG00000144827	3	ABHD10
ABHD11	ABHD11	ENSG00000106077	7	ABHD11
ABHD11-AS1	ABHD11-AS1	ENSG00000225969	7	ABHD11-AS1
ABHD12	ABHD12	ENSG00000100997	20	ABHD12
ABHD12B	ABHD12B	ENSG00000131969	14	ABHD12B
ABHD13	ABHD13	ENSG00000139826	13	ABHD13
ABHD14A	ABHD14A	ENSG00000248487	3	ABHD14A
ABHD14B	ABHD14B	ENSG00000114779	3	ABHD14B
ABHD15	ABHD15	ENSG00000168792	17	ABHD15
ABHD15-AS1	ABHD15-AS1	ENSG00000264031	17	ABHD15-AS1
ABHD16A	ABHD16A	ENSG00000236063	CHR_HSCHR6_MHC_SSTO_CTG1	ABHD16A
ABHD16B	ABHD16B	ENSG00000183260	20	ABHD16B
ABHD17A	ABHD17A	ENSG00000129968	19	ABHD17A
ABHD17AP3	ABHD17AP3	ENSG00000250536	1	ABHD17AP3
ABHD17AP4	ABHD17AP4	ENSG00000229107	22	ABHD17AP4
ABHD17AP6	ABHD17AP6	ENSG00000226981	17	ABHD17AP6
ABHD17B	ABHD17B	ENSG00000107362	9	ABHD17B
ABHD17C	ABHD17C	ENSG00000136379	15	ABHD17C
ABHD2	ABHD2	ENSG00000140526	15	ABHD2
